decile,delay_rate,share
0,0.04473902236951118,0.20008620118029308
1,0.0578988326848249,0.10650818911212784
2,0.07605034568338948,0.09351170346793979
3,0.07693538067818298,0.10364034215237716
4,0.08357695614789339,0.09639612757774683
5,0.08351107465135357,0.10103772959352827
6,0.0930309551398775,0.10014256349048471
7,0.12683823529411764,0.09919766593727207
8,0.16530578236960505,0.09947947748823022
